nom,canonical_key,type,category,voie,severity,action
disopyramide,disopyramide,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
disulfiram,disulfiram,voie_cbip_seule,substrat,CYP3A4/5,low,conserver_CBIP_confidence_medium
disulfiram,disulfiram,voie_hug_seule,inhibiteur,CYP2E1,medium,flag_review_HUG_pdf
dolutégravir,dolutegravir,voie_hug_seule,substrat,Pgp,medium,flag_review_HUG_pdf
dompéridone,domperidone,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
dompéridone,domperidone,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
dompéridone,domperidone,voie_cbip_seule,substrat,Pgp,medium,conserver_CBIP_confidence_medium
donépézil,donepezil,voie_hug_seule,substrat,Pgp,medium,flag_review_HUG_pdf
doxorubicine,doxorubicine,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
doxorubicine,doxorubicine,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
doxorubicine,doxorubicine,voie_cbip_seule,substrat,Pgp,medium,conserver_CBIP_confidence_medium
doxycycline,doxycycline,molecule_absente_cbip,,,medium,conserver_HUG_flag_review
doxycycline,doxycycline,voie_hug_seule,inhibiteur,CYP3A4/5,medium,flag_review_HUG_pdf
dronédarone,dronedarone,molecule_absente_cbip,,,medium,conserver_HUG_flag_review
dronédarone,dronedarone,voie_hug_seule,substrat,CYP3A4/5,medium,flag_review_HUG_pdf
dronédarone,dronedarone,voie_hug_seule,substrat,Pgp,medium,flag_review_HUG_pdf
dronédarone,dronedarone,voie_hug_seule,inhibiteur,CYP2D6,medium,flag_review_HUG_pdf
dronédarone,dronedarone,voie_hug_seule,inhibiteur,CYP3A4/5,medium,flag_review_HUG_pdf
dronédarone,dronedarone,voie_hug_seule,inhibiteur,Pgp,medium,flag_review_HUG_pdf
dropéridol,droperidol,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
dropéridol,droperidol,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
dropéridol,droperidol,voie_cbip_seule,substrat,Pgp,medium,conserver_CBIP_confidence_medium
drospirénone,drospirenone,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
drospirénone,drospirenone,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
duloxétine,duloxetine,voie_hug_seule,inhibiteur,Pgp,medium,flag_review_HUG_pdf
ébastine,ebastine,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
ébastine,ebastine,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
ecstasy (MDMA),ecstasy (mdma),molecule_absente_cbip,,,medium,conserver_HUG_flag_review
ecstasy (MDMA),ecstasy (mdma),voie_hug_seule,substrat,CYP1A2,medium,flag_review_HUG_pdf
ecstasy (MDMA),ecstasy (mdma),voie_hug_seule,substrat,CYP2B6,medium,flag_review_HUG_pdf
ecstasy (MDMA),ecstasy (mdma),voie_hug_seule,substrat,CYP2D6,medium,flag_review_HUG_pdf
